Round Number,Date,Location,Home Team,Away Team,Result
15,5/2/20 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
15,5/2/20 22:00,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,
15,5/2/20 22:30,Staples Center,LA Clippers,Miami Heat,
16,6/2/20 19:30,Madison Square Garden,New York Knicks,Orlando Magic,
16,6/2/20 20:00,United Center,Chicago Bulls,New Orleans Pelicans,
16,6/2/20 20:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
16,6/2/20 22:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
16,6/2/20 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,
16,7/2/20 19:00,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,
16,7/2/20 19:00,Capital One Arena,Washington Wizards,Dallas Mavericks,
16,7/2/20 19:30,TD Garden,Boston Celtics,Atlanta Hawks,
16,7/2/20 20:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,
16,7/2/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,
16,7/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Houston Rockets,
16,7/2/20 22:00,Golden 1 Center,Sacramento Kings,Miami Heat,
16,7/2/20 22:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,
16,8/2/20 17:00,Amway Center,Orlando Magic,Milwaukee Bucks,
16,8/2/20 19:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
16,8/2/20 19:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
16,8/2/20 19:30,Bankers Life Fieldhouse,Indiana Pacers,New Orleans Pelicans,
16,8/2/20 19:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,
16,8/2/20 20:00,Target Center,Minnesota Timberwolves,LA Clippers,
16,8/2/20 20:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
16,8/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,
16,8/2/20 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,
